"Year"	"Plot"	"Ring"	"CO2 Treatment"	"Nitrogen Treatment"	"CountOfSpecies"	"CountOfGroup"	"Experiment"	"monospecies"	"Monogroup"	"Water Treatment"	"Temp Treatment"	"Depth"	"Carbon(%)"	"Nitrogen(%)"	"C/N Ratio"
2002	1	1	Cenrich	Namb	4	2	M	 	 	 	 	0-10	0.618	0.074	8.351351351
2002	1	1	Cenrich	Namb	4	2	M	 	 	 	 	10-20	0.515	0.057	9.035087719
2002	1	1	Cenrich	Namb	4	2	M	 	 	 	 	20-40	0.142	0.023	6.173913043
2002	1	1	Cenrich	Namb	4	2	M	 	 	 	 	40-60	0.132	0.016	8.25
2002	2	1	Cenrich	Namb	1	1	M	Bouteloua gracilis	C-4	 	 	0-10	0.55	0.07	7.857142857
2002	2	1	Cenrich	Namb	1	1	M	Bouteloua gracilis	C-4	 	 	10-20	0.477	0.06	7.95
2002	2	1	Cenrich	Namb	1	1	M	Bouteloua gracilis	C-4	 	 	20-40	0.199	0.032	6.21875
2002	2	1	Cenrich	Namb	1	1	M	Bouteloua gracilis	C-4	 	 	40-60	0.154	0.094	1.638297872
2002	3	1	Cenrich	Nenrich	4	1	S	 	Legume	 	 	0-10	1.223	0.178	6.870786517
2002	3	1	Cenrich	Nenrich	4	1	S	 	Legume	 	 	10-20	0.528	0.091	5.802197802
2002	3	1	Cenrich	Nenrich	4	1	S	 	Legume	 	 	20-40	0.191	0.047	4.063829787
2002	3	1	Cenrich	Nenrich	4	1	S	 	Legume	 	 	40-60	0.216	0.038	5.684210526
2002	4	1	Cenrich	Namb	4	3	M	 	 	 	 	0-10	0.625	0.076	8.223684211
2002	4	1	Cenrich	Namb	4	3	M	 	 	 	 	10-20	0.629	0.069	9.115942029
2002	4	1	Cenrich	Namb	4	3	M	 	 	 	 	20-40	0.256	0.041	6.243902439
2002	4	1	Cenrich	Namb	4	3	M	 	 	 	 	40-60	0.124	0.023	5.391304348
2002	5	1	Cenrich	Namb	1	1	M	Asclepias tuberosa	Forb	 	 	0-10	0.513	0.063	8.142857143
2002	5	1	Cenrich	Namb	1	1	M	Asclepias tuberosa	Forb	 	 	10-20	0.356	0.053	6.716981132
2002	5	1	Cenrich	Namb	1	1	M	Asclepias tuberosa	Forb	 	 	20-40	0.32	0.045	7.111111111
2002	5	1	Cenrich	Namb	1	1	M	Asclepias tuberosa	Forb	 	 	40-60	0.141	0.018	7.833333333
